cve_municipio,desc_municipio,id_indicador,indicador,año,valor,unidad_medida
1,Canatlán,6200009439,Víctimas heridas en los accidentes de tránsito,1999,43,Víctimas
1,Canatlán,6200009439,Víctimas heridas en los accidentes de tránsito,2000,42,Víctimas
1,Canatlán,6200009439,Víctimas heridas en los accidentes de tránsito,2001,27,Víctimas
1,Canatlán,6200009439,Víctimas heridas en los accidentes de tránsito,2002,31,Víctimas
1,Canatlán,6200009439,Víctimas heridas en los accidentes de tránsito,2003,7,Víctimas
1,Canatlán,6200009439,Víctimas heridas en los accidentes de tránsito,2004,2,Víctimas
1,Canatlán,6200009439,Víctimas heridas en los accidentes de tránsito,2005,2,Víctimas
1,Canatlán,6200009439,Víctimas heridas en los accidentes de tránsito,2006,10,Víctimas
1,Canatlán,6200009439,Víctimas heridas en los accidentes de tránsito,2007,27,Víctimas
1,Canatlán,6200009439,Víctimas heridas en los accidentes de tránsito,2008,29,Víctimas
1,Canatlán,6200009439,Víctimas heridas en los accidentes de tránsito,2009,61,Víctimas
1,Canatlán,6200009439,Víctimas heridas en los accidentes de tránsito,2010,30,Víctimas
1,Canatlán,6200009439,Víctimas heridas en los accidentes de tránsito,2011,61,Víctimas
1,Canatlán,6200009439,Víctimas heridas en los accidentes de tránsito,2012,47,Víctimas
1,Canatlán,6200009439,Víctimas heridas en los accidentes de tránsito,2013,29,Víctimas
1,Canatlán,6200009439,Víctimas heridas en los accidentes de tránsito,2014,18,Víctimas
1,Canatlán,6200009439,Víctimas heridas en los accidentes de tránsito,2015,42,Víctimas
1,Canatlán,6200009439,Víctimas heridas en los accidentes de tránsito,2016,61,Víctimas
1,Canatlán,6200009439,Víctimas heridas en los accidentes de tránsito,2017,66,Víctimas
1,Canatlán,6200009439,Víctimas heridas en los accidentes de tránsito,2018,70,Víctimas
1,Canatlán,6200009439,Víctimas heridas en los accidentes de tránsito,2019,35,Víctimas
1,Canatlán,6200009439,Víctimas heridas en los accidentes de tránsito,2020,38,Víctimas
